outage_id;event_id;feeder_id;asset_id;tm_id;ilce;bolge_tipi;kesinti_tipi;baslangic;bitis;sure_dk;ekip_varis_dk;etkilenen_abone;etkilenen_kritik_musteri;kayip_enerji_kWh;ariza_nedeni;onarim_aciklamasi;ihbar_kanali;sure_supheli;sure_dolduruldu;abone_dolduruldu;varlik_tipi;aciklama_tutarsiz
OMS-2021-009610;EVT-082236;MRS-F-106;MRS-F-106-D0277;TM-11;Anamur;kirsal;PLANSIZ;2021-01-01 08:29:00;2021-01-01 12:48:12;259,2;109,7;600;0;2851,2;AGAC_TEMASI;dal temas?;SCADA;0;0;0;DIREK;0
OMS-2021-001827;EVT-015259;MRS-F-041;MRS-F-041-T005;TM-04;Mezitli;kirsal;PLANSIZ;2021-01-01 08:45:00;2021-01-01 12:30:12;225,2;108,4;210;0;867;ASIRI_YUKLENME;yuklenme kaynakli;SCADA;0;0;0;DAGITIM_TRAFOSU;0
OMS-2021-009032;EVT-077085;MRS-F-102;MRS-F-102-T002;TM-11;Anamur;kirsal;PLANSIZ;2021-01-01 11:40:00;2021-01-01 15:01:54;201,9;69,4;2575;1;9531,4;KABLO_ARIZASI;KABLO EK YERI ARIZA;186_CAGRI;0;0;0;DAGITIM_TRAFOSU;0
OMS-2021-009881;EVT-084410;MRS-F-108;MRS-F-108-D0168;TM-12;Mut;kirsal;PLANSIZ;2021-01-01 11:49:00;2021-01-01 15:31:36;222,6;92,5;1234;0;5036;EKIPMAN_YASLANMA;iletken kopmasi (eskime);186_CAGRI;0;0;0;DIREK;0
OMS-2021-008619;EVT-073625;MRS-F-099;MRS-F-099-D0016;TM-10;Bozyazi;kirsal;PLANSIZ;2021-01-01 14:29:00;2021-01-01 17:41:36;192,6;67,7;1182;0;4173,6;EKIPMAN_YASLANMA;direk curumesi;SCADA;0;0;0;DIREK;0
OMS-2021-002701;EVT-022991;MRS-F-053;MRS-F-053-D0197;TM-05;Tarsus;kirsal;PLANSIZ;2021-01-01 18:52:00;2021-01-01 21:47:42;175,7;73,8;752;0;2422,3;HAVA_KOSULLARI;kar yuku;186_CAGRI;0;0;0;DIREK;0
OMS-2021-006266;EVT-053352;MRS-F-083;MRS-F-083-D0181;TM-08;Silifke;kirsal;PLANSIZ;2021-01-01 19:31:00;2021-01-01 23:12:06;221,1;134,2;559;0;2265,9;AGAC_TEMASI;agc. temasi;SCADA;0;0;0;DIREK;0
OMS-2021-006921;EVT-059011;MRS-F-088;MRS-F-088-D0296;TM-08;Silifke;kirsal;PLANSIZ;2021-01-01 20:19:00;2021-01-02 00:11:12;232,2;71,8;1972;1;8394,8;HAVA_KOSULLARI;firtina;186_CAGRI;0;0;0;DIREK;0
OMS-2021-006920;EVT-059010;MRS-F-088;MRS-F-088-D0339;TM-08;Silifke;kirsal;PLANSIZ;2021-01-01 23:37:00;2021-01-02 03:18:24;221,4;45,6;1071;0;4347,2;AGAC_TEMASI;dal temas?;186_CAGRI;0;0;0;DIREK;0
OMS-2021-008715;EVT-074469;MRS-F-100;MRS-F-100-D0006;TM-11;Anamur;kirsal;PLANSIZ;2021-01-02 02:57:00;2021-01-02 06:03:06;186,1;90,9;369;0;1259;HAVA_KOSULLARI;firtina nedeniyle iletken kopmasi;186_CAGRI;0;0;0;DIREK;0
OMS-2021-008714;EVT-074468;MRS-F-100;MRS-F-100-D0036;TM-11;Anamur;kirsal;PLANSIZ;2021-01-02 08:01:00;2021-01-02 09:13:00;72;32,7;468;0;617,8;EKIPMAN_YASLANMA;DIREK CURUMESI;186_CAGRI;0;0;0;DIREK;0
