asset_id;asset_type;feeder_id;ilce;yas_2025;ariza_sayisi_5yil;agac_yogunlugu_skoru;kiyi_mesafesi_km;yuklenme_orani;fider_abone_sayisi;fider_kritik_musteri;toplam_kayip_kWh;Kirilganlik_Puan;Etki_Puan;Risk_Skoru;Risk_Kategorisi
MRS-F-002-D0003;DIREK;MRS-F-002;Akdeniz;34,0;5;0,21;1;80,8%;8649;3;52859,5;79,56;87,24;69,41;Kritik
MRS-F-055-D0001;DIREK;MRS-F-055;Tarsus;41,0;4;0,21;14;68,4%;8106;3;58370,1;71,87;86,71;62,32;Kritik
MRS-F-031-D0018;DIREK;MRS-F-031;Yenisehir;45,0;5;0,34;1;59,2%;6087;3;37644,9;82,01;69,79;57,23;Yüksek
MRS-F-022-D0001;DIREK;MRS-F-022;Toroslar;35,0;3;0,44;1;95,0%;8349;3;17723,1;74,01;73,11;54,11;Yüksek
MRS-F-062-D0011;DIREK;MRS-F-062;Tarsus;44,0;4;0,36;14;79,2%;6275;2;54428,7;77,85;66,75;51,96;Yüksek
MRS-F-009-T004;DAGITIM_TRAFOSU;MRS-F-009;Akdeniz;40,0;3;0,33;1;70,9%;6916;3;34617;69,86;72,56;50,69;Yüksek
MRS-F-015-D0016;DIREK;MRS-F-015;Toroslar;36,0;12;0,22;1;75,4%;7705;0;82797,4;79,51;63,69;50,64;Yüksek
MRS-F-007-D0003;DIREK;MRS-F-007;Akdeniz;32,0;3;0,23;1;79,2%;8363;3;26512,9;66,16;76,36;50,53;Yüksek
MRS-F-032-D0012;DIREK;MRS-F-032;Yenisehir;32,0;6;0,1;1;60,3%;6333;3;33248,7;72,15;69,34;50,03;Yüksek
MRS-F-020-D0006;DIREK;MRS-F-020;Toroslar;27,0;3;0,16;1;75,9%;7797;3;44685,7;61,68;80,31;49,53;Yüksek
MRS-F-022-D0011;DIREK;MRS-F-022;Toroslar;7,0;4;0,33;1;95,0%;8349;3;34899,3;62,24;79,34;49,38;Yüksek
MRS-F-062-D0005;DIREK;MRS-F-062;Tarsus;45,0;6;0,35;14;79,2%;6275;2;29969,1;84,34;57,88;48,82;Yüksek
MRS-F-022-D0004;DIREK;MRS-F-022;Toroslar;29,0;3;0,33;1;95,0%;8349;3;9620,8;69,34;70,18;48,66;Yüksek
MRS-F-022-T047;DAGITIM_TRAFOSU;MRS-F-022;Toroslar;43,0;1;0,32;1;95,0%;8349;3;20620,5;65,57;74,16;48,63;Yüksek
MRS-F-040-D0001;DIREK;MRS-F-040;Yenisehir;28,0;3;0,21;1;68,6%;8136;3;36768,8;60,93;79,02;48,15;Yüksek
MRS-F-032-D0002;DIREK;MRS-F-032;Yenisehir;23,0;5;0,08;1;60,3%;6333;3;39520,6;66,60;71,62;47,69;Yüksek
MRS-F-008-D0017;DIREK;MRS-F-008;Akdeniz;43,0;3;0,07;1;75,7%;5814;3;35767,9;70,24;67,84;47,65;Yüksek
MRS-F-007-T033;DAGITIM_TRAFOSU;MRS-F-007;Akdeniz;41,0;2;0,32;1;79,2%;8363;3;13483;66,42;71,64;47,59;Yüksek
MRS-F-040-D0013;DIREK;MRS-F-040;Yenisehir;32,0;4;0,04;1;68,6%;8136;3;11632,5;67,62;69,91;47,27;Yüksek
MRS-F-022-D0009;DIREK;MRS-F-022;Toroslar;28,0;2;0,31;1;95,0%;8349;3;22942,5;62,54;75,00;46,91;Yüksek
MRS-F-078-T020;DAGITIM_TRAFOSU;MRS-F-078;Erdemli;40,0;2;0,26;2;79,5%;6314;3;37762,6;65,09;70,89;46,14;Yüksek
MRS-F-022-T056;DAGITIM_TRAFOSU;MRS-F-022;Toroslar;27,7;2;0,22;1;95,0%;8349;3;22022,7;61,48;74,67;45,90;Yüksek
MRS-F-002-T020;DAGITIM_TRAFOSU;MRS-F-002;Akdeniz;28,0;2;0,18;1;80,8%;8649;3;29994,3;57,69;78,96;45,55;Yüksek
MRS-F-040-D0010;DIREK;MRS-F-040;Yenisehir;38,0;2;0,28;1;68,6%;8136;3;21386,2;61,59;73,45;45,23;Yüksek
MRS-F-015-D0005;DIREK;MRS-F-015;Toroslar;38,0;5;0,06;1;75,4%;7705;0;64600,4;79,10;57,10;45,16;Yüksek
MRS-F-002-D0005;DIREK;MRS-F-002;Akdeniz;18,0;3;0,26;1;80,8%;8649;3;24173,2;58,54;76,85;44,99;Yüksek
MRS-F-035-D0006;DIREK;MRS-F-035;Yenisehir;42,0;5;0,17;1;55,6%;5297;3;14235,2;77,62;57,63;44,73;Yüksek
MRS-F-007-T048;DAGITIM_TRAFOSU;MRS-F-007;Akdeniz;18,0;2;0,29;1;79,2%;8363;3;50297,9;52,43;84,98;44,56;Yüksek
MRS-F-028-D0031;DIREK;MRS-F-028;Toroslar;27,0;4;0,19;1;83,2%;9059;1;36831,7;69,78;63,35;44,20;Yüksek
MRS-F-040-D0008;DIREK;MRS-F-040;Yenisehir;33,0;2;0,24;1;68,6%;8136;3;28094;58,21;75,88;44,17;Yüksek
MRS-F-002-T037;DAGITIM_TRAFOSU;MRS-F-002;Akdeniz;19,0;2;0,39;1;80,8%;8649;3;35396,1;54,44;80,91;44,05;Yüksek
MRS-F-034-T014;DAGITIM_TRAFOSU;MRS-F-034;Yenisehir;32,0;4;0,42;1;55,7%;5319;3;32250,2;68,19;64,26;43,82;Yüksek
MRS-F-019-D0003;DIREK;MRS-F-019;Toroslar;46,0;5;0,1;1;53,3%;4804;2;42720,4;78,74;55,65;43,82;Yüksek
MRS-F-032-D0018;DIREK;MRS-F-032;Yenisehir;27,0;4;0,02;1;60,3%;6333;3;35655,5;62,38;70,21;43,80;Yüksek
MRS-F-043-D0005;DIREK;MRS-F-043;Mezitli;38,0;3;0,05;1;69,2%;6616;3;22602,1;65,44;66,80;43,72;Yüksek
MRS-F-003-D0014;DIREK;MRS-F-003;Akdeniz;28,0;2;0,23;1;79,1%;8352;3;24364,9;57,77;75,53;43,63;Yüksek
MRS-F-078-D0003;DIREK;MRS-F-078;Erdemli;32,0;3;0,33;2;79,5%;6314;3;20472,3;67,03;64,63;43,32;Yüksek
MRS-F-021-T028;DAGITIM_TRAFOSU;MRS-F-021;Toroslar;35,0;2;0,26;1;65,2%;7396;3;31387,4;58,75;73,62;43,26;Yüksek
MRS-F-021-D0006;DIREK;MRS-F-021;Toroslar;36,0;2;0,36;1;65,2%;7396;3;25420,8;60,35;71,46;43,13;Yüksek
MRS-F-003-D0010;DIREK;MRS-F-003;Akdeniz;34,0;2;0,1;1;79,1%;8352;3;13805,7;60,04;71,71;43,05;Yüksek
MRS-F-021-T025;DAGITIM_TRAFOSU;MRS-F-021;Toroslar;32,0;2;0,39;1;65,2%;7396;3;31768,6;58,27;73,76;42,98;Yüksek
MRS-F-032-D0006;DIREK;MRS-F-032;Yenisehir;47,0;3;0,03;1;60,3%;6333;3;15327,2;68,38;62,85;42,98;Yüksek
MRS-F-003-D0013;DIREK;MRS-F-003;Akdeniz;24,0;2;0,26;1;79,1%;8352;3;26137,2;55,69;76,18;42,42;Yüksek
MRS-F-009-D0004;DIREK;MRS-F-009;Akdeniz;34,0;2;0,23;1;70,9%;6916;3;30032,8;59,29;70,89;42,03;Yüksek
MRS-F-040-T040;DAGITIM_TRAFOSU;MRS-F-040;Yenisehir;28,0;2;0,18;1;68,6%;8136;3;30940,6;54,63;76,91;42,02;Yüksek
MRS-F-022-T036;DAGITIM_TRAFOSU;MRS-F-022;Toroslar;33,0;1;0,4;1;95,0%;8349;3;6214,4;60,42;68,94;41,65;Yüksek
MRS-F-007-T025;DAGITIM_TRAFOSU;MRS-F-007;Akdeniz;43,0;1;0,32;1;79,2%;8363;3;2151,5;61,61;67,54;41,61;Yüksek
MRS-F-043-D0016;DIREK;MRS-F-043;Mezitli;22,0;4;0,27;1;69,2%;6616;3;17259,5;64,12;64,87;41,59;Yüksek
MRS-F-022-T005;DAGITIM_TRAFOSU;MRS-F-022;Toroslar;33,0;1;0,16;1;95,0%;8349;3;13696,1;58,02;71,65;41,57;Yüksek
MRS-F-007-D0014;DIREK;MRS-F-007;Akdeniz;30,0;2;0,3;1;79,2%;8363;3;7428,8;59,67;69,45;41,44;Yüksek
MRS-F-031-D0007;DIREK;MRS-F-031;Yenisehir;47,0;3;0,23;1;59,2%;6087;3;7553,2;70,10;58,89;41,28;Yüksek
MRS-F-078-D0006;DIREK;MRS-F-078;Erdemli;34,0;2;0,29;2;79,5%;6314;3;26188,9;61,82;66,70;41,23;Yüksek
MRS-F-002-T003;DAGITIM_TRAFOSU;MRS-F-002;Akdeniz;41,0;1;0,22;1;80,8%;8649;3;2121,5;59,83;68,86;41,20;Yüksek
MRS-F-003-D0005;DIREK;MRS-F-003;Akdeniz;28,0;2;0,3;1;79,1%;8352;3;10260,1;58,47;70,42;41,17;Yüksek
MRS-F-007-T008;DAGITIM_TRAFOSU;MRS-F-007;Akdeniz;36,0;1;0,25;1;79,2%;8363;3;14262,5;56,75;71,92;40,81;Yüksek
MRS-F-003-T009;DAGITIM_TRAFOSU;MRS-F-003;Akdeniz;27,0;2;0,25;1;79,1%;8352;3;11504,3;57,37;70,87;40,66;Yüksek
MRS-F-055-T014;DAGITIM_TRAFOSU;MRS-F-055;Tarsus;43,0;1;0,26;14;68,4%;8106;3;20400,8;55,56;72,95;40,53;Yüksek
MRS-F-062-D0006;DIREK;MRS-F-062;Tarsus;21,0;5;0,41;14;79,2%;6275;2;28146;70,66;57,22;40,43;Yüksek
MRS-F-043-D0020;DIREK;MRS-F-043;Mezitli;47,0;2;0,11;1;69,2%;6616;3;7978,1;65,40;61,51;40,22;Yüksek
MRS-F-021-D0004;DIREK;MRS-F-021;Toroslar;31,0;2;0,29;1;65,2%;7396;3;23689,4;56,67;70,83;40,14;Yüksek
MRS-F-022-D0003;DIREK;MRS-F-022;Toroslar;29,0;1;0,36;1;95,0%;8349;3;8167;57,64;69,65;40,14;Yüksek
MRS-F-040-D0012;DIREK;MRS-F-040;Yenisehir;27,0;2;0,07;1;68,6%;8136;3;27821,6;52,94;75,78;40,12;Yüksek
MRS-F-040-D0007;DIREK;MRS-F-040;Yenisehir;47,0;1;0,12;1;68,6%;8136;3;5203,7;59,34;67,58;40,11;Yüksek
MRS-F-040-T012;DAGITIM_TRAFOSU;MRS-F-040;Yenisehir;33,0;2;0,22;1;68,6%;8136;3;9467,7;58,01;69,13;40,10;Yüksek
MRS-F-007-D0013;DIREK;MRS-F-007;Akdeniz;21,0;2;0,26;1;79,2%;8363;3;20802,8;53,92;74,29;40,06;Yüksek
MRS-F-028-D0023;DIREK;MRS-F-028;Toroslar;28,0;2;0,36;1;83,2%;9059;1;45784;60,08;66,59;40,01;Yüksek
MRS-F-025-D0003;DIREK;MRS-F-025;Toroslar;34,0;4;0,3;1;75,3%;5766;1;54989,9;73,09;54,58;39,89;Orta
MRS-F-027-D0009;DIREK;MRS-F-027;Toroslar;41,0;3;0,09;1;80,6%;8611;0;50416,6;70,48;56,18;39,59;Orta
MRS-F-022-T015;DAGITIM_TRAFOSU;MRS-F-022;Toroslar;33,0;1;0,15;1;95,0%;8349;3;4041,5;57,92;68,16;39,47;Orta
MRS-F-007-D0002;DIREK;MRS-F-007;Akdeniz;27,0;1;0,32;1;79,2%;8363;3;24866,6;52,09;75,77;39,47;Orta
MRS-F-009-D0018;DIREK;MRS-F-009;Akdeniz;32,0;3;0,1;1;70,9%;6916;3;7614,7;62,80;62,77;39,42;Orta
MRS-F-086-D0003;DIREK;MRS-F-086;Silifke;40,0;2;0,42;3;79,4%;8411;2;6178,7;66,47;59,22;39,36;Orta
MRS-F-003-T037;DAGITIM_TRAFOSU;MRS-F-003;Akdeniz;16,0;1;0,13;1;79,1%;8352;3;63939,9;43,63;89,87;39,21;Orta
MRS-F-040-T042;DAGITIM_TRAFOSU;MRS-F-040;Yenisehir;28,0;2;0,12;1;68,6%;8136;3;18803,7;54,03;72,51;39,18;Orta
